Company name,Description,Industrial
Bank of China,"Bank of China Ltd. engages in the provision of banking and related financial services such as commercial and investment banking, and insurance and investment services. The company operates its business through the following segments: Corporate Banking, Personal Banking, Treasury Operations, Investment Banking, Insurance, and Others. The Corporate Banking segment offers services to corporate customers, government authorities, and financial institutions such as current accounts, deposits, overdrafts, loans, custody, tradeRead More related products and other credit facilities, foreign currency, and derivative products. The Personal Banking segment provides services to retail customers such as current accounts, savings, deposits, investment savings products, credit and debit cards, consumer loans, and mortgages. The Treasury Operations segment deals in foreign exchange transactions, customer-based interest rate and foreign exchange derivative transactions, money market transactions, proprietary trading, and asset and liability management. The Investment Banking segment includes debt and equity underwriting and financial advisory, sales and trading of securities, stock brokerage, investment research and asset management services, and private equity investment services. The Insurance segment specializes in the underwriting of general and life insurance business and insurance agency services. The Others segment comprises investment holding and other miscellaneous activities. Bank of China was founded on February 05, 1912 and is headquartered in Beijing, China.",Major Banks
Barclays,"Barclays Plc operates as a bank holding company that engages in the business of providing retail banking, credit cards, corporate and investment banking and wealth management services in Europe, the Americas, Africa and Asia. The company operates in nine segments: UK Retail & Business Banking, Europe Retail & Business Banking, Africa Retail & Business Banking, Barclaycard, Investment Bank, Corporate Banking, Wealth & Investment Management and Head Office Functions & Other Operations. The UK Retail & Business Banking segmentRead More provides current account and savings products and branded mortgages. It also provides unsecured loans and general insurance as well as banking and money transmission services to small and medium sized businesses. The Europe Retail & Business Banking segment provides retail services, including credit cards, in Spain, Italy, Portugal and France, as well as lending to small and medium sized businesses, through a variety of distribution channels. The Africa Retail & Business Banking segment provides retail, corporate and credit card services across Africa and the Indian Ocean. The Barclaycard segment is an international payments business service provider to retail and business customers, credit cards and consumer lending. The Investment Bank segment is the investment banking division of Barclays, which provides corporate, government and institutional clients with solutions to meet their strategic advisory, financing and risk management needs. The Corporate Banking segment provides integrated banking solutions to large corporate, financial institutions and multi-nationals in the UK and internationally. The Wealth & Investment Management segment provides wealth and investment management services focused on private and intermediary clients worldwide, providing international and private banking, investment management, fiduciary services and brokerage. The Head Office Functions and Other Operations segment comprises head office and central support functions and consolidation adjustments. Barclays was founded on July 20, 1896 and is headquartered in London, the United Kingdom.",Major Banks
Axis Bank,"Axis Bank Ltd. provides corporate and retail banking products and services. The company's products include saving accounts; fixed deposits, recurring deposits; home loans, car loans, personal loan, and loans against shares, property and security; credit cards, debit cards and prepaid cards; forex, investments in mutual fund, demat account, online trading; insurance in health, home, travel, life and other services of prepaid mobile charging, online shopping, locker and e-statement. The company operates through four segments:Read More Treasury, Retail Banking, Corporate/Wholesale Banking and Other Banking Business. The Treasury segment operations include investments in sovereign and corporate debt, equity and mutual funds, trading operations, derivative trading and foreign exchange operations on the proprietary account and for customers and central funding. The Retail Banking segment constitutes lending to individuals/small businesses subject to the orientation, product and granularity criterion and also includes low value individual exposures not exceeding the threshold limit. The Retail Banking activities also include liability products, card services, internet banking, ATM services, depository, financial advisory services and NRI services. The Corporate/Wholesale Banking segment includes corporate relationships not included under Retail Banking, corporate advisory services, placements and syndication, management of public issue, project appraisals, capital market related services and cash management services. The Other Banking Business segment includes para banking activities like third party product distribution and other banking transactions. It also provides services to personal, corporate, NRI's, agricultural and rural markets which are engaged in agricultural business, microfinance, financial inclusion and rural banking. Axis Bank was founded on December 3, 1993 and is headquartered in Mumbai, India.",Regional Banks
Emerson Electric,"Emerson Electric Co. engages in manufacturing and developing process controls systems, valves and analytical instruments. It operates through the following segments: Process Management, Industrial Automation, Network Power, Climate Technologies, and Commercial and Residential Solutions. The Process Management segment involves in providing measurement, control, monitoring, engineering, and diagnostic capabilities for automated industrial processes producing items. The Industrial Automation segment offers manufacturingRead More solutions. The Network Power segment includes designs, manufactures, installs, and maintains products provides electric power conditioning, power reliability and environmental control for telecommunications networks, data centers, and critical applications. The Climate Technologies segment comprises of products and services for the climate control industry which include residential heating and cooling, commercial air conditioning, and commercial and industrial refrigeration. The Commercial and Residential Solutions segment engages in the provision of tools for professionals and homeowners, home storage systems, and appliance solutions. The company was founded by Charles Meston and Alexander Meston on September 24, 1890 and is headquartered in St. Louis, MO.",Electrical Equipment
Credit Suisse Group,"Credit Suisse Group AG operates as a financial services company, which provides investment banking and advisory services. The company operates through two segments: Private Banking & Wealth Management; and Investment Banking. The Private Banking & Wealth Management segment offers comprehensive advice and a wide range of financial solutions to private, corporate and institutional clients. It operates through three divisions: Wealth Management Clients; Corporate & Institutional Clients; and Asset Management. The WealthRead More Management Clients division serves UHNWI and HNWI around the globe in addition to affluent and retail clients in Switzerland. The Corporate & Institutional Clients division serves the needs of corporations and institutional clients, mainly in Switzerland. The Asset Management division offers a wide range of investment products and solutions across asset classes and for all investment styles, serving governments, institutions, corporations and individuals worldwide. The Investment Banking segment offers investment banking and securities products and services to corporate, institutional and government clients around the world. Its products and services include debt and equity underwriting, sales and trading, M&A advice, divestitures, corporate sales, restructuring and investment research. Its products and services portfolio includes private clients, family offices & ultra high net worth individuals, external asset managers, corporate & institutions, investment banking and asset management. Credit Suisse Group was founded by Alfred Escher on July 5, 1856 and is headquartered in Zurich, Switzerland.",Major Banks
Whirlpool,"Whirlpool Corp. engages in the manufacturing and marketing home appliances. Its products include home laundry appliances, home refrigerators and freezers, home cooking appliances, home dishwashers, and room air-conditioning equipment, mixers, and portable household appliances. Its brands include Whirlpool, Brastemp, Indesit, Maytag, KitchenAid, Jenn-Air, Amana, Bauknecht, Brastemp, and Consul. The company was founded by Emory Upton, Fred Upton, and Louis C. Upton and was founded in 1955 and is headquartered in BentonRead More Harbor, MI.",Household Appliances
Paccar,"PACCAR, Inc. is a global technology company engaged in the design, manufacture and customer support of premium light, medium and heavy-duty trucks. It operates through the following segments: Truck, Parts, Financial Services and Other Businesses. The Truck segment includes the design and manufacturing of heavy, medium and light duty diesel trucks which are marketed under the Kenworth, Peterbilt, and DAF nameplates. The Parts segment includes the distribution of aftermarket parts for trucks and related commercial vehicles inRead More the U.S., Canada, Europe, Australia, Mexico and South America. The Financial Services segment is composed of finance and leasing products and services provided to truck customers and dealers. The Other Businesses segment includes a division of the company which manufactures industrial winches in two U.S. plants and markets them under the Braden, Carco and Gearmatic nameplates. The company also operates in Australia and sells trucks and parts to customers in Asia, Africa, Middle East and South America. PACCAR was founded by William Pigott Sr. in 1905 and is headquartered in Bellevue, WA.",Heavy Equipment
Carrefour,"Carrefour SA engages in the provision of supermarkets and retail stores. Its activities include the operation and management of hypermarkets; supermarkets; convenience stores; cash and carry stores; and both food and non-food e-commerce websites. The company was founded on July 11, 1959 and is headquartered in Boulogne-Billancourt, France.",Food Retail
Waste Management,"Waste Management, Inc. engages in provision of waste management environmental services. It operates through the following business segments: Tier 1. Tier 2 and Tier 3. The Tier 1 segment comprises exclusively of areas in the Southern United States. The Tier 2 segment comprises predominately of areas located in the Midwest and Northeast United States. The Tier 3 segment comprises all remaining areas, including the Northwest and Mid-Atlantic regions of the United States and Eastern Canada. The company was founded on SeptemberRead More 30, 1987 and is headquartered in Houston, TX.",Environmental & Waste
Asustek Computer,"ASUSTek Computer, Inc. engages in the manufactures and distribution of computers, communication products, and consumer electronics solutions. It offers laptops, personal computers (PCs), broadband products, graphics cards, three-dimension graphics display cards, liquid crystal display monitors, mobile telephones, pocket PCs, server motherboards, server systems, and computer accessories and peripherals. The company was founded on April 2, 1990 and is headquartered in Taipei, Taiwan.",Computer Hardware
Motorola Solutions,"Motorola Solutions, Inc. engages in the development and provision of communication infrastructure, devices, accessories, and software. It operates through the Products and Services segments. The Products segment offers an extensive portfolio of infrastructure, devices, accessories, and software. The Services segment provides managed and support services; integrated digital enhanced network; and integration services. The company was founded on September 25, 1928 and is headquartered in Schaumburg, IL.",Aerospace & Defense
Royal Ahold,"Royal Ahold NV engages in the food retailing and operation of supermarket. It operates through the following geographical segments: Ahold USA, The Netherlands, and Czech Republic. The company was founded by Albert Heijn on May 27, 1887 and is headquartered in Zaandam, Netherlands.",Food Retail
Woolworths,"Woolworths Ltd. operates general merchandise consumer stores and supermarkets in Australia, New Zealand and India. The company operates supermarkets under the brand names, Woolworths and Safeway in Australia and under the brand name Countdown in New Zealand. It operates through five segments: Australian Food, Liquor & Petrol, New Zealand Supermarkets, General Merchandise, Hotels and Home Improvement. The Australian Food, Liquor & Petrol segment engages in the procurement of food and liquor and products for resale toRead More customers in Australia. The New Zealand Supermarkets segment engages in the procurement of food and liquor and products for resale to customers in New Zealand. The General Merchandise segment engages in discount general merchandise products for resale to customers predominantly in Australia. The Hotels segment provides leisure and hospitality services including food and alcohol, accommodation, entertainment and gaming. The Home Improvement segment provides home improvement products for resale to customers in Australia. The company was founded on December 5, 1924 and is headquartered in Sydney, Australia.",Food Retail
Citic Securities,"CITIC Securities Co. Ltd. engages in the provision of financial products and services. The company operates through five business segments: Investment Banking, Brokerage, Trading, Asset Management and Others. The Investment Banking segment includes placing and underwriting services and financial advisory services. The Brokerage segment involves in securities and futures dealing and broking and the agency sale of financial products. The Trading segment engages in trading and market-making of equities, fixed income productsRead More and derivatives, margin financing and securities lending activities, and alternative investment business. The Asset Management segment provides management services to PE funds, pension funds, annuity plans and other asset management accounts. The Others segment engages in private equity investments, principal investments, and other businesses. CITIC Securities was founded on October 25, 1995 and is headquartered in Shenzhen, China.",Investment Services
Richemont,"Compagnie Financière Richemont SA engages in the designing, manufacturing and distribution of luxury goods. The company operates its business through three segments: Jewellery Maisons, Specialist Watchmakers, and Other. The Jewellery Maisons segment engages in the designing, manufacturing and distribution of jewellery products which include Cartier and Van Cleef & Arpels. The Specialist Watchmakers segment includes timepieces by Piaget, A. Lange & Söhne, Jaeger-LeCoultre, Vacheron Constantin, Officine Panerai, InternationalRead More Watch Co., Baume & Mercier, and Roger Dubuis. The Other segment comprises the activities of Alfred Dunhill, Lancel, Chloé, Net-a-Porter, Purdey, and the textile brands and other manufacturing entities of the group. Its products include jewellery, watches, writing instruments and leather goods. Compagnie Financière Richemont was founded by Johann P. Rupert in September 1988 and is headquartered in Bellevue, Switzerland.",Specialty Stores
Shaw Communications,"Shaw Communications, Inc. operates as a diversified communications and media company, which provides consumers with broadband cable television, Internet, home phone, telecommunications services, satellite direct-to-home services and engaging programming content. It operates through three segments: Cable, Satellite and Media. The Cable segment includes cable television, Internet, digital phone and Shaw business operations. The Satellite segment comprises of direct-to-home and satellite services. The Media segment engages inRead More the business of television broadcasting. The company was founded by James Robert Shaw on December 9, 1966 and is headquartered in Calgary, Canada.",Broadcasting & Cable
GF Securities,"GF Securities Co., Ltd. engages in the provision of comprehensive capital market services. Its business include qualified foreign institutional investor services, retail services, institutional services, proprietary trading, and international business. The company was founded on April 9, 1991 and is headquartered in Guangzhou, China.",Investment Services
Juniper Networks,"Juniper Networks, Inc. engages in the design, development, and sale of products and services for network businesses. It operates through Americas and EMEA (Europe, Middle East, and Africa) geographical segments. The company was founded by Pradeep S. Sindhu on February 6, 1996 and is headquartered in Sunnyvale, CA.",Communications Equipment
Loews,"Loews Corp. is a holding company, which engages in the oil and gas business. It operates through the following segments: CNA Financial, Diamond Offshore, Boardwalk Pipeline, Loews Hotels, Corporate and Other. The CNA Financial segment offers property, casualty, insurance, and underwriting services. The Diamond Offshore segment manages drilling rigs. The Boardwalk Pipeline segment transports and stores natural gas and natural gas liquids. The Loews Hotels segment operates restaurants and hotel chains. The Corporate and OtherRead More segment includes investment income and interest expenses. The company was founded by Laurence A. Tisch and Preston Robert Tisch in 1954 and is headquartered in New York, NY.",Diversified Insurance
Indian Overseas Bank,"Indian Overseas Bank provides commercial banking services. It operates through four segments: Treasury, Corporate/Wholesale Banking, Retail Banking and Other Banking Operations. The bank's products and services include personal banking, corporate banking, NRI accounts, mobile banking, Internet banking, saving bank account, current account, retail products, international VISA card, third party insurance and term deposits. The company was founded  by Muttaiya Chidambaram Chettiar on February 10, 1937 and is headquartered inRead More Chennai, India.",Regional Banks
Cummins,"Cummins, Inc. engages in the design, manufacture, sale and service of diesel and natural gas engines and related technologies, including fuel systems, controls, air handing, filtration, emission, solutions and electrical power generation systems. It operates through the following segments: Engine, Distribution, Components, and Power Generation segments. The Engine segment manufactures and markets a range of diesel and natural gas powered engines under the Cummins brand name, for the heavy- and medium-duty truck, bus,Read More recreational vehicle, light-duty automotive, agricultural, construction, mining, marine, oil and gas, rail and governmental equipment markets. The Distribution segment consists of parts, engines, power generation and service, which service and distributes range of its products and services. The Components segment supplies products which complement its Engine and Power Systems segment, including aftertreatment systems, turbochargers, filtration products and fuel systems for commercial diesel applications. The Power Generation segment designs and manufactures most of the components that make up power generation systems, including controls, alternators, transfer switches and switchgear. Cummins was founded by Clessie Lyle Cummins and William Glanton Irwin on February 3, 1919 and is headquartered in Columbus, IN.",Heavy Equipment
Nike,"NIKE, Inc. engages in the design, development, marketing, and sale of sports and lifestyle footwear, apparel, and equipment, accessories and services. Its athletic footwear products are designed primarily for specific athletic use, although a large percentage of the products are worn for casual or leisure purposes. It focuses on NIKE Brand and Brand Jordan product offerings in seven key categories: running, basketball, football, men's training, women's training, NIKE sportswear, and action sports. It also markets productRead More designed for kids, as well as for other athletic and recreational uses such as baseball, cricket, golf, lacrosse, outdoor activities, football, tennis, volleyball, walking, and wrestling. The company sells a line of performance equipment under the NIKE Brand name, including bags, socks, sport balls, eyewear, timepieces, digital devices, bats, gloves, protective equipment, golf clubs, and other equipment designed for sports activities. It also sells small amounts of various plastic products to other manufacturers through its wholly-owned subsidiary, NIKE IHM, Inc. Its reportable operating segments for the NIKE Brand are: North America, Western Europe, Central & Eastern Europe, Greater China, Japan, and Emerging Markets. The company wholly-owned subsidiaries include Converse Inc., which designs, markets and distributes casual footwear, apparel and accessories and Hurley International LLC, which designs, markets and distributes action sports and youth lifestyle footwear, apparel and accessories. The company was founded by William Jay Bowerman and Philip H. Knight in 1964 and is headquartered in Beaverton, OR.",Apparel/Accessories
Mosaic,"The Mosaic Co. engages in the production and marketing of concentrated phosphate and potash crop nutrients. The company operates its businesses through its wholly and majority owned subsidiaries. It operates through the following segments: Phosphates, Potash, and International Distribution. The Phosphates segment owns and operates mines and production facilities in Florida which produce concentrated phosphate crop nutrients and phosphate-based animal feed ingredients, and processing plants in Louisiana which produceRead More concentrated crop nutrients. The Potash segment owns and operates potash mines and production facilities in Canada and the U.S. which produce potash-based crop nutrients, animal feed ingredients and industrial products. The International Distribution segment is consists of sales offices, crop nutrient blending and bagging facilities, port terminals, and warehouses in Brazil, Paraguay, India, and China. The company was founded on October 22, 2004 and is headquartered in Plymouth, MN.",Specialized Chemicals
Swire Pacific,"Swire Pacific Ltd. is a holding company with diversified interests. The company operates its business through the following divisions: Property, Aviation, Beverages, Marine Services, and Trading and Industrial. The Property division designs, develops and manages mixed-use developments that successfully transform urban areas. The Aviation division provides cargo airlines, aircraft engineering, catering and airport services. The Beverages division involves bottling, distribution, and delivery of beverage products. The MarineRead More Services division includes international offshore energy support, and dockyard and towage services. The Trading and Industrial division engages in the retail and distribution of apparel and motor vehicles and is involved in the sugar and paint businesses. Swire Pacific was founded in 1974 and is headquartered in Hong Kong.",Conglomerates
SingTel,"Singapore Telecommunications Ltd. is an investment holding company, which engages in the operations and provision of telecommunications systems and services. It offers mobile voice, messaging, international roaming, mobile broadband, and other value-added entertainment and information services. It operates through three business segments: Group Consumer, Group Enterprise, and Group Digital Life. The Group Consumer business includes mobile, residential pay television service, fixed and satellite telecommunications, andRead More equipment sales. The Group Enterprise business comprises integrated infocomm technology solutions, managed services, local and international leased circuits, and mobile and business pay television service. The Group Digital Life focuses on electronic commerce, concierge, hyper-local services, and mobile advertising. The company was founded on March 28, 1992 and is headquartered in Singapore.",Telecommunications services
Isbank,"Turkiye Is Bankasi AS engages in the provision of financial banking services. It operates through the following segments: Corporate, Commercial, Retail Banking, Private Banking, and Treasury & Investment Banking. The Corporate segment includes financing, instant banking, and foreign trade transactions to small and medium enterprises. The Commercial segment provides investment loans, foreign currency trading, tax collections, payrolls, and bill collections. The Retail Banking segment offers consumer loans, deposits, creditRead More cards, accounts, remittances, safe-deposit boxes, insurance, and investment accounts. The Private Banking segment deals with financial and cash management for high-income individuals. The Treasury & Investment Banking segment involves in securities trading, money market transactions, derivative transactions, syndications, and securitizations. The company was founded on August 26, 1924 and is headquartered in Istanbul, Turkey.",Regional Banks
Telenor,"Telenor ASA engages in the provision of telecommunications, data, and media services. It operates through the following segments: Mobile Communication, Fixed Line Communication, Television-Based Activities (Broadcast), and Other Operations. The Mobile Communications segment includes voice, data, internet, content services, customer equipment and messaging. The Fixed Line Communication comprises of telephony, internet, television and leased lines, and provision of data and managed services. The Broadcast segment involvesRead More satellite TV activities within the Nordic region including pay-TV services via satellite dish, satellite master antenna TV-networks systems and broadcasting rights. The Other Operations segment consists of international wholesale, digital services portfolio and corporate functions. The company was founded in 1855 and is headquartered in Fornebu, Norway.",Telecommunications services
China Mengniu Dairy,"China Mengniu Dairy Co., Ltd. is an investment holding company, which engages in the manufacture and distribution of dairy products. It operates through the following segments: Liquid Milk Products, Ice Cream Products, Milk Powder, and Other Dairy Products. The Liquid Milk Products segment manufactures and distributes ultra-high temperature milk, milk  beverages, and yogurt. The Ice Cream Products segment manufacturing and distributing ice cream under the brands Sui Bian, Mood for Green, Deluxe and Ice+. The Milk PowderRead More segment makes and disperse milk powder. The Other Dairy Products segment includes milk formula and cheese products. The company was founded in July 1999 and is headquartered in Hong Kong.",Food Processing
Deutsche Bank,"Deutsche Bank AG provides corporate banking and investment services. It operates through the following segments: Corporate Banking and Securities (CB&S), Global Transaction Banking (GTB), Asset and Wealth Management (AWM), Private and Business Clients (PBC), and Non-Core Operations Unit (NCOU). The CB&S segment engages in the selling, trading and structuring of financial market products and is responsible for mergers and acquisitions, including advisory debt and equity issuance. The GTB segment provides domestic andRead More cross-border payments, risk mitigation, international trade finance, trust, agency, depositary, custody, and related services. The AWM segment offers traditional, alternative investment products, and tailored wealth management products and services to ultra high net worth individuals and families. The PBC segment provides banking services, such as current accounts, deposits, loans, investment management, and pension products to private individuals, self-employed clients, and small and medium-sized businesses. The NCOU segment bundles assets and liabilities with a view to accelerating the de-risking process. The company was founded by Adelbert Delbrueck on March 10, 1870 and is headquartered in Frankfurt am Main, Germany.",Major Banks
Eastman Kodak,"Eastman Kodak Co. operates as a technology company focusing on imaging for business. It serves customers with disruptive technologies and breakthrough solutions for the products goods packaging, graphic communications and functional printing industries. The company also offers products and services in entertainment imaging and commercial films. It operates through two segments: Graphics, Entertainment & Commercial Films segment and Digital Printing & Enterprise segment. The Graphics, Entertainment & Commercial Films segmentRead More encompasses graphics, entertainment Imaging & commercial films, and its intellectual property and brand licensing activities. Its products and services include; digital plates, CTP output devices, digital controllers, unified workflow solutions, and entertainment imaging and commercial films. The Digital Printing & Enterprise segment encompasses digital printing, including PROSPER equipment and STREAM technology, packaging and functional printing, enterprise services & solutions, and consumer inkjet systems. The company was founded by George Eastman in 1880 and is headquartered in Rochester, NY.",Consumer Electronics
KDDI,"KDDI Corp. engages in the telecommunications business. It operates through the following segments: Personal Services, Value Services, Business Services, Global Services, and Other. The Personal Services segment provides mobile and fixed-line communications services to individual customers. Its brands include """"au"""" brand mobile communication, """"au HIKARI"""", FIFTH and CATV services. The Value Services segment provides content, settlement, and other services. The Business Services segment provides cloud-based solutions forRead More the use of use of mobile handsets such as smartphones, tablets, and networks. The Global Services segment provides one-stop information, communication technology (ICT) solutions/cloud services, and other services for companies and individuals overseas. The Others segment handles construction and maintenance of facilities, call centers, research, and advanced technology development. The company was founded by Kazuo Inamori on June 1, 1984 and is headquartered in Tokyo, Japan.",Telecommunications services
Deutsche Lufthansa,"Deutsche Lufthansa AG provides passenger, freight and cargo airline services. It operates through the following business segments: Passenger Airline Group, Logistics, Maintenance, Repair, Overhaul, Catering, Information Technology Services, and Others. The Passenger Airline Group segment offers passenger services. The Logistics segment provides a range of freight transport services for various cargos, including live animals, valuable cargo, mail, dangerous goods, and temperature-sensitive goods; and road feeder services.Read More The Maintenance, Repair, Overhaul segment focuses on maintenance, repair, overhaul, modification and conversion, and engines and components for passenger aircraft. The Catering segment provides airline catering, and related upstream and downstream in-flight services; in-flight equipment and logistics services; management of onboard service; and in-flight retail. The company was founded on January 6, 1926 and is headquartered in Cologne, Germany.",Airline
HeidelbergCement,"HeidelbergCement AG engages in the production and distribution of cement, aggregates, concrete, and building products. It operates through the following segments: Western and Northern Europe, Eastern Europe-Central Asia, North America, Asia-Pacific, and Africa Mediterranean Basin. It focuses on cement, aggregates, building products, and concrete-service-other business lines. The company was founded by Johann Philipp Schifferdecker in 1873 and is headquartered in Heidelberg, Germany.",Construction Materials
London Stock Exchange,"London Stock Exchange Group Plc engages in the facilitation of international markets exchange platforms. It operates through the following business activities: Capital Formation, Risk and Balance Sheet Management, and Intellectual Property. The Capital Formation business provides access to primary sources of equity and debt finance for companies of all sizes from all over the world as well as secondary markets for price formation and trading. The Risk and Balance Sheet Management business involves post trade services toRead More mitigate counterparty risk, maximize capital efficiencies for customers, support the safe transfer of securities, and optimize cash flows for efficient collateral management. The Intellectual Property business offers market data, indices, analytics and information services to increase knowledge and transparency in support of trading and investment decision making. The company was founded in October 2007 and is headquartered in London, the United Kingdom.",Investment Services
Shimizu,"Shimizu Corp. engages in the business construction, architecture, engineering and property services. Its operations are carried out through the following segments: Construction, Real Estate Development and Others. The Construction segment engages in building construction and civil engineering services. The Real Estate Development segment includes sales, purchases, and rentals of property. The Others segment includes sale of construction materials, leasing, and financing. The company was founded by Kisuke Shimizu in 1804 andRead More is headquartered in Tokyo, Japan.",Construction Services
Deutsche Post,"Deutsche Post AG provides mail and logistics services. The company offers services, which include national and international mail and parcel services, dialog marketing services, outsourcing and system solutions for the mail business, international express, air freight, ocean freight, European road freight and contract logistics. It operates through the following business segments: Mail, Express, Global Forwarding Fright and Supply Chain. The Mail segment provides domestic and international mail and parcels and areRead More specialists in dialogue marketing, nationwide press distribution services and all the electronic services associated with mail delivery. The Express segment offers courier and express services to business customers. The Global Forwarding Freight segment handles the carriage of goods by rail, road, air and sea. The Supply Chain segment provides warehousing, managed transport and value-added services at every link in the supply chain for customers in a variety of industries. This segment also offers solutions for corporate information and communications management tailored precisely to the needs of customers. The company was founded in 1995 and is headquartered in Bonn, Germany.",Air Courier
Agricultural Bank of China,"Agricultural Bank of China engages in the provision of international commercial banking and financial services. The company operates its business through the following segments: Corporate Banking, Personal Banking, Treasury Operations and Others & Unallocated. The Corporate Banking segment provides financial products and services to corporations, government agencies and financial institutions. Its products and services include corporate loans and advances, trade finance, deposit products and other types of corporateRead More intermediary services. The Personal Banking segment provides financial products and services to individual customers. Its products and services includes personal loans, deposit products, card business, personal wealth management services and other types of personal intermediary services. The Treasury Operations segment conducts money market or repurchases transactions, debt instrument investments, and holding of derivative positions. The Others & Unallocated segment deals with primarily equity investments. Agricultural Bank of China was founded on July 10, 1951 and is headquartered in Beijing, China.",Regional Banks
Amazon.com,"Amazon.com, Inc. provides online retail shopping services. It provides services to four primary customer sets: consumers, sellers, enterprises, and content creators. The company also provides other marketing and promotional services, such as online advertising and co-branded credit card agreements. It serves consumers through its retail websites with a focus on selection, price, and convenience. It designs its websites to enable its products to be sold by the company and by third parties across dozens of product categories.Read More The company also serves developers and enterprises of all sizes through Amazon Web Services, which provides access to technology infrastructure that enables virtually any type of business. The company operates through three segments: North America, International, and Amazon Web Services. The North America segment includes retail sales of consumer products and subscriptions through North America-focused websites such as www.amazon.com and www.amazon.ca.   The International segment includes retail sales of consumer products and subscriptions through internationally-focused websites. The Amazon Web Services segment includes global sales of compute, storage, database, and other AWS service offerings for start-ups, enterprises, government agencies, and academic institutions. Amazon.com was founded by Jeffrey P. Bezos in July 1994 and is headquartered in Seattle, WA.",Internet & Catalog Retail
BlackRock,"BlackRock, Inc. provides investment management, risk management and advisory services for institutional and retail clients worldwide. The company's platform enables it to offer active investments with index products and risk management to develop tailored solutions for clients. Its products include single and multi-asset class portfolios investing in equities, fixed income, alternatives and money market instruments. The company offers its products directly and through intermediaries in a variety of vehicles, includingRead More open-end and closed-end mutual funds, iShares exchange-traded funds and other exchange-traded products, including exchange-traded funds and exchange-traded products, collective investment funds and separate accounts. It also offers BlackRock Solutions investment systems, risk management and advisory services primarily to institutional investors. BlackRock was founded by Ralph L. Schlosstein, Susan L. Wagner, Robert Steven Kapito and Laurence Douglas Fink in 1998 and is headquartered in New York, NY.",Investment Services
Morgan Stanley,"Morgan Stanley provides investment banking products and services to its clients and customers including corporations, governments, financial institutions, and individuals. It operates through the following business segments: Institutional Securities, Wealth Management, and Investment Management. The Institutional Services segment provides financial advisory, capital-raising services, and related financing services on behalf of institutional investors. The Wealth Management segment offers brokerage and investment advisoryRead More services covering various types of investments, including equities, options, futures, foreign currencies, precious metals, fixed-income securities, mutual funds, structured products, alternative investments, unit investment trusts, managed futures, separately managed accounts, and mutual fund asset allocation programs. The Investment Management segment provides equity, fixed income, alternative investments, real estate, and merchant banking strategies. The company was founded by Harold Stanley and Henry S. Morgan on September 16, 1935 and is headquartered in New York, NY.",Investment Services
Citic Pacific,"CITIC Ltd. is an investment holding company, which engages in the businesses of financial services, resources and energy, engineering contracting, manufacturing and real estate. It operates through the following segments: Financial Services, Resources and Energy, Manufacturing, Engineering Contracting, Real Estate, and Other Businesses. The Financial Services spans the banking, trust, insurance, and securities sectors. The Resources and Energy segment comprises of the exploration, mining, processing, and trading of energyRead More products and mineral resources as well as power generation. The Manufacturing segment includes the manufacture of special steel, heavy equipment, and aluminum wheels, and castings. The Engineering Contracting segment serves infrastructure, housing, industrial construction, and municipal engineering projects. The Real Estate segment manages residential and commercial properties. The Other Businesses segment provides telecommunications and internet services and the leasing and sale of satellite transponders. The company was founded in 1987 and is headquartered in Hong Kong.",Iron & Steel
Marsh & McLennan,"Marsh & McLennan Cos., engages in the provision of advice and solutions in the areas of risk, strategy, and human capital. It operates through the Risk and Insurance Services, and Consulting segments. The Risk and Insurance Services segment includes risk management activities, such as risk advice, risk transfer, risk control and mitigation solutions. The Consulting segment comprises of retirement, health, talent, and investments consulting and services. The company was founded by Henry W. Marsh and Donald R. McLennan inRead More 1871 and is headquartered in New York, NY.",Insurance Brokers
Aisin Seiki,"Aisin Seiki Co., Ltd. is engages in the manufacture and sale of automotive parts. It operates through the following segments: Aisin Seiki Group, Aisin Takaoka Group, Aisin AW Group, Advics Group, and Others. The Aisin Seiki Group segment provides general automotive parts and services, life and amenity-related equipment, public works, and petroleum sales. The Aisin Takaoka Group segment handles engine and brake cast components. The Aisin AW Group deals with automatic transmissions and car navigation systems. The Advics GroupRead More segment offers brake components. The Others segment includes automotive parts lineup, energy systems, mainstay products for the major group companies, life and amenity products. The company was founded on August 31, 1965 and is headquartered in Kariya, Japan.",Auto & Truck Parts
Swiss Re,"Swiss Re AG engages in the provision of reinsurance, insurance and other insurance-based forms of risk transfer. It operates through the following segments: Property and Casualty Reinsurance, Life and Health Reinsurance, Corporate Solutions, and Admin Re. The Property and Casualty segment comprises of the business lines property, casualty including motor, and specialty. The Life and Health segment includes life and health sub-segments. The Corporate Solutions segment offers innovative insurance capacity to mid-sized andRead More large multinational corporations across the globe. The Admin Re segment acquires closed blocks of in-force life and health insurance business, either through reinsurance or corporate acquisition, and typically assumes responsibility for administering the underlying policies. The company was founded on December 19, 1863 and is headquartered in Zurich, Switzerland.",Diversified Insurance
